item,product_number,multiplier,items_per_order,price
Xtra Small Nitrile Gloves,179887,1,1,78
Small Nitrile Gloves,48730,10,1,8
Medium Nitrile Gloves,48731,10,1,8
Large Nitrile Gloves,48732,10,1,8
Xtra Large Nitrile Gloves,48734,10,1,8
6 gloves ,65694,1,1,64
6-1/2 gloves,20711,1,1,64
7 gloves,20712,1,1,64
7-1/2 gloves,20713,1,1,64
8 gloves ,20714,1,1,64
Sterile Gowns,23916,1,1,3
Sterile gauze large 4x4,24015,1,1,3
Sterile gauze small 2x2,24014,1,1,2
Alcohol wipes ,518,1,1,2
Green IV swabs Prevantics,162051,1,1,11
Small Tegaderms,21092,1,1,20
Large Tegaderms,592,1,1,29
Coban Multicolor,222560,1,1,63
safety scalpel,62822,1,1,16
Scalpel,326,1,1,8
Bandaids ,508,1,1,2
Circle Bandaids,509,1,1,2
Knuckle Bandaids,192834,1,1,4
Fingertip Bandaid,194516,1,1,4
Connecting tubing ,151511,1,1,232
Sterile markers ,3210,1,1,0.5
Gridlines,98598,1,1,111
Gridlines ,148704,1,1,111
Marker Speed (BB),99245,1,1,34
Chux ,171958,1,1,32
Bath Cloths,38918,1,1,19
Denture Cups ,1283,1,1,4
Denture Cup Blue ,164401,1,1,11
Urinals,DYND80235S,1,1,0.5
Urine Cups,1815,1,1,1
Bed Pans ,435,1,1,1
XL Slipper Socks ,24217,1,1,1
2XL Slipper Socks ,195096,1,1,1
3XL Slipper Socks ,246132,30,1,46
Child Slipper,153611,30,1,19
Enema Bag,26303,1,1,313
"Enema Ring, Barbiepool",26291,1,1,178
Cold Packs ,40306,10,1,17
Hot Packs ,70041,10,1,9
Transfer Board Sliding,26790,1,1,190
White emesis bags,98493,1,1,5
Iodine,24030,1,1,3
Peroxide,100538,1,1,1
Alcohol,117993,1,1,1
Small Chloraprep,87230,1,1,25
Large chloarprep,96146,1,1,304
IV Kits ,104738,1,1,1.5
IV Extension Kit,217088,1,1,1.5
IV tegaderms,591,1,1,56
Hubs,217084,1,1,1
IV tubing ,217077,1,1,2.5
Kelly Clamp ,21296,1,1,1
Brown Lunch Bags,5293,1,1,0.05
Tissues,85,1,1,0.5
Blueplastic gowns,1395,1,1,26.5
Boufant Caps,406,1,1,5
Paper Surgical Caps,2010,1,1,10
Shoe covers ,90,1,1,11.5
Hand Sanitizer dispenser,230391,1,1,52
Purple Wipes ,154245,1,1,5.5
Bleach Wipes ,159378,1,1,5
Paper towels ,121,1,1,23
Sit Sling ,98617,1,1,38
White disposable chair slip M/L,98616,1,1,41
White disposable chair slip XL/XXL,152966,1,1,624
White disposable chair slip XXL/XXXL,152967,1,1,63
IVY leads,233538,1,1,34
Foam Leads,4394,1,1,4
Drain Sponge w/slit,213,1,1,3
3M dressing ,48473,1,1,19
Torniquets,1094,1,1,15
Yellow Arm Foam ,14389,1,1,83
Blue/white prone pillow ,17210,1,1,81
Peds pads,97318,1,1,23
Peds Arm Board 5x2,26569,1,1,2
Peds Arm Board 9x3,4095,1,1,2
Leg bag,20589,1,1,2
Leg Bag Combo ,117156,1,1,231
Surgiform,24017,1,1,4.5
0 Silk Suture ,1010,1,1,43
0 Prolene Suture ,1805,1,1,82
Red Blunt Tip Needles ,95567,1,1,7
25g 1-1/2 eclipse needle,1341,1,1,15
20g Spinal Needle,1353,1,1,49
22g Spinal Needle,1352,1,1,2.5
18g Spinal Needle ,20567,1,1,59
18g Perc entry needle ,70028,1,1,4
18gx15cm Trocar,153349,1,1,14
18gx20cm Trocar,116288,1,1,14
18gx10cm Chiba,75124,1,1,10
18gx15cm Chiba,75125,1,1,10
18gx20cm Chiba,80614,1,1,10
22gx20cm Chiba,10448,1,1,10
22gx15cm Chiba,39638,1,1,10
20fr J thal,39564,1,1,130
Biopince 18gx10cm,232269,1,1,355
Biopince 18gx15cm,232268,1,1,355
Biopince 18gx20cm,232267,1,1,355
Bard Mission 18x10cm,176164,1,1,190
Bard Mission 18x16cm,176165,1,1,190
Bard Mission 18x20cm,176166,1,1,190
Bard Mission 20x10cm,176218,1,1,190
Bard Mission 20x16cm,176219,1,1,190
Bard Mission 20x20cm,176220,1,1,190
Coaxial 17gx6.8,151079,1,1,59
Coaxial 17gx11.8,151080,1,1,59
Coaxial 17gx16.8,160651,1,1,59
Oncontrol 15gx3.5,159252,1,1,250
Oncontrol 15gx2.7,159251,1,1,523
Oncontrol 11gx6,401535,1,1,859
T-lock Bone Marrow 8gx6in,153008,1,1,300
T-lock Bone Marrow 11gx4in,162738,1,1,300
T-lock Bone Marrow 11gx6in,153009,1,1,300
Biopsy Trays ,238284,1,1,483
Bone lesion Biopsy Trays ,168315,1,1,2465
Bone Marrow Trays,401535,1,1,858.5
On Control Trays no needle,159250,1,1,328
Osteocore 16gx7.5,163026,1,1,
Osteocore 16gx12.5,39218,1,1,245
Statlock 6-8,62368,1,1,119
Statlock 10-12,62369,1,1,208
Statlock 12-14,62370,1,1,
12fr J thal,3609,1,1,130
16fr J thal,60449,1,1,130
18fr J thal,50102,1,1,130
Homer 20gx7.5cm,3567,1,1,345
Homer 20gx10cm,103518,1,1,345
Argon Franseen Lung 18gx9cm,213801,1,1,80
Argon Franseen Lung 18gx15cm,213802,1,1,80
Argon Franseen Lung 18gx20cm,213803,1,1,80
Argon Franseen Lung 20gx15cm,213804,1,1,80
Argon Franseen Lung 22gx15cm,213805,1,1,80
Comb ,547,1,1,0.55
Patient Belonging Bags ,273,1,1,3.75
Good masks,92697,1,1,9
Comfort ear loop mask ,170889,1,1,34
Ear Loop Mask ,20745,1,1,34
Fluid Shield Mask ,4480,1,1,12
Green N95,62219,1,1,36
White N95,228745,1,1,17
Duck Bill,202281,1,1,305
Duck Bill Small,202282,1,1,52
CT table Straps ,212246,1,1,95
CT Cardiac cable,236444,1,1,214
CT Cardiac 4 wires leads,237599,1,1,569
92 in. Slicker,200782,1,1,293
82.75 in. Slicker,184327,1,1,332
85.5 in. Slicker,245077,1,1,356
Pillow Anesthesia Head,17210,1,1,81
Argon,154856,1,1,94
Helium,154855,1,1,1200
Short Stops,63216,1,1,60
18g Angiocath,199883,1,1,76
20g Angiocath,199882,1,1,77
22g Angiocath,199881,1,1,81
24g Angiocath,199880,1,1,81
"1"" inch single use ",103562,1,1,0.22
"3"" inch tape",23984,1,1,6
5 ml syringe,1595,1,1,13
10 ml syringe,1596,1,1,22
20 ml syringe,24237,1,1,0.23
50 ml syringe ,1600,1,1,0.5
Toumey Syringe ,23803,1,1,55
Double Medrad ,102083,1,1,250
Flex Syringe ,235939,1,1,250
Contrast spike ,102463,1,1,48
